epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7762,1.11023,4.85632,0.01762,0.36529,0.24762,0.24477,0.13271,1.6046,3.10851,0.04149,0.000653333,0.000653333,0.000653333
2,92.9183,1.39908,2.06439,0.0239,0.31788,0.31429,0.25046,0.11957,1.99892,2.47945,0.05425,0.00131564,0.00131564,0.00131564
3,131.08,1.5752,1.86183,0.0281,0.28847,0.32822,0.22313,0.09533,2.51672,2.20254,0.07018,0.00197355,0.00197355,0.00197355
4,171.756,1.52797,1.70714,0.02632,0.34608,0.32381,0.24093,0.09098,2.28366,3.095,0.06053,0.0019802,0.0019802,0.0019802
5,210.026,1.51038,1.61908,0.02716,0.74973,0.44762,0.50792,0.17331,2.21776,2.83879,0.06145,0.0019736,0.0019736,0.0019736
6,251.667,1.46956,1.55368,0.02521,0.31794,0.21905,0.1873,0.07253,2.48101,3.00717,0.07417,0.001967,0.001967,0.001967
7,291.039,1.47334,1.43611,0.02568,0.64335,0.55238,0.6157,0.3181,1.56856,1.56993,0.03946,0.0019604,0.0019604,0.0019604
8,332.134,1.42409,1.43401,0.02482,0.58373,0.65714,0.65403,0.37485,1.60624,1.40535,0.04383,0.0019538,0.0019538,0.0019538
9,372.064,1.42478,1.39248,0.02408,0.6297,0.62857,0.63437,0.31736,1.68661,1.60466,0.04632,0.0019472,0.0019472,0.0019472
10,412.245,1.40693,1.38443,0.02463,0.64773,0.69524,0.68861,0.40557,1.53206,1.20545,0.04059,0.0019406,0.0019406,0.0019406
11,452.414,1.41024,1.30588,0.02441,0.63441,0.64762,0.66747,0.37237,1.61625,1.62784,0.04434,0.001934,0.001934,0.001934
12,492.185,1.34795,1.27662,0.02302,0.67786,0.66667,0.77319,0.46447,1.40626,1.09441,0.03649,0.0019274,0.0019274,0.0019274
13,531.526,1.34963,1.26766,0.02333,0.69482,0.75894,0.76762,0.46207,1.38331,1.10599,0.03562,0.0019208,0.0019208,0.0019208
14,571.314,1.28805,1.19371,0.02182,0.79993,0.76156,0.82,0.51988,1.32388,1.05794,0.0348,0.0019142,0.0019142,0.0019142
15,611.366,1.3065,1.21244,0.02129,0.72789,0.68788,0.78748,0.48874,1.38235,1.01757,0.03711,0.0019076,0.0019076,0.0019076
16,650.577,1.24423,1.25331,0.02129,0.80177,0.75238,0.80042,0.5156,1.30295,0.94973,0.03558,0.001901,0.001901,0.001901
17,689.017,1.25333,1.11839,0.02134,0.69369,0.59048,0.7055,0.46286,1.23657,1.21781,0.03363,0.0018944,0.0018944,0.0018944
18,728.561,1.2739,1.15344,0.02153,0.81301,0.62116,0.76408,0.43466,1.55422,1.36835,0.04168,0.0018878,0.0018878,0.0018878
19,767.131,1.26506,1.19967,0.0213,0.61221,0.72381,0.73385,0.46701,1.4017,0.99891,0.03799,0.0018812,0.0018812,0.0018812
