epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4135,1.36101,2.62353,1.73097,0.00044,0.04524,0.00023,7e-05,nan,nan,nan,0.000653333,0.000653333,0.000653333
2,103.265,1.64894,2.29772,1.91039,0.00225,0.13333,0.00098,0.00025,3.95758,inf,15.4194,0.00131564,0.00131564,0.00131564
3,159.515,1.71533,2.14812,1.88679,0.00111,0.00952,0.00023,5e-05,4.10583,119.121,12.8667,0.00197355,0.00197355,0.00197355
4,212.252,1.68022,2.10027,1.85777,0.18282,0.17143,0.11287,0.05381,1.8058,15.8921,2.71056,0.0019802,0.0019802,0.0019802
5,267.271,1.63586,1.95173,1.78254,0.00596,0.04524,0.00129,0.00033,3.98751,124.032,12.3006,0.0019736,0.0019736,0.0019736
6,319.643,1.62834,1.94941,1.77202,0.31813,0.22143,0.16323,0.08605,1.78278,6.80666,2.14144,0.001967,0.001967,0.001967
7,377.163,1.52058,1.84877,1.68754,0.33152,0.14524,0.08652,0.04094,1.5207,28.3477,1.81961,0.0019604,0.0019604,0.0019604
8,428.879,1.51276,1.83992,1.69126,0.4292,0.23453,0.2022,0.11591,1.50827,4.96425,1.68524,0.0019538,0.0019538,0.0019538
9,483.63,1.48925,1.74138,1.6305,0.58666,0.26667,0.25732,0.16194,1.41795,2.40537,1.5633,0.0019472,0.0019472,0.0019472
10,544.879,1.47556,1.68473,1.64125,0.39399,0.22619,0.18722,0.11317,1.45567,2.61899,1.66241,0.0019406,0.0019406,0.0019406
11,596.27,1.41608,1.5948,1.58978,0.4131,0.21283,0.18148,0.10265,1.56658,2.13886,1.67494,0.001934,0.001934,0.001934
12,648.418,1.41534,1.6498,1.58827,0.5973,0.28095,0.28246,0.19501,1.27091,1.65939,1.46029,0.0019274,0.0019274,0.0019274
13,704.372,1.40748,1.60163,1.59059,0.6302,0.27857,0.26489,0.16364,1.46428,1.63909,1.64144,0.0019208,0.0019208,0.0019208
14,759.649,1.3964,1.49881,1.56106,0.67754,0.30238,0.3055,0.20091,1.34194,1.51167,1.55459,0.0019142,0.0019142,0.0019142
15,817.733,1.37484,1.50403,1.53649,0.65041,0.29286,0.30326,0.20342,1.41905,1.3591,1.48381,0.0019076,0.0019076,0.0019076
16,876.159,1.31542,1.46938,1.52696,0.59881,0.25952,0.27026,0.17897,1.41122,1.63993,1.4739,0.001901,0.001901,0.001901
17,928.543,1.35637,1.47285,1.51076,0.40589,0.26667,0.21016,0.14482,1.34118,1.84677,1.48052,0.0018944,0.0018944,0.0018944
18,982.813,1.37277,1.49845,1.55016,0.59297,0.3119,0.30353,0.21202,1.2917,1.51757,1.41973,0.0018878,0.0018878,0.0018878
19,1042.25,1.30379,1.41264,1.47666,0.62278,0.28333,0.29654,0.20309,1.3357,1.44897,1.4692,0.0018812,0.0018812,0.0018812
20,1095.29,1.32648,1.40681,1.50481,0.63059,0.27143,0.27826,0.18724,1.38105,1.49977,1.43747,0.0018746,0.0018746,0.0018746
21,1146.9,1.29196,1.36452,1.47473,0.72155,0.33095,0.32135,0.23202,1.27563,1.20429,1.39703,0.001868,0.001868,0.001868
22,1207.79,1.30373,1.38504,1.4886,0.61877,0.27857,0.29266,0.19094,1.43576,1.87888,1.50118,0.0018614,0.0018614,0.0018614
23,1260.17,1.28263,1.34912,1.45676,0.6436,0.29762,0.29773,0.21309,1.2873,1.28357,1.37632,0.0018548,0.0018548,0.0018548
