epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6452,1.38516,2.36499,1.71973,0,0,0,0,nan,nan,nan,0.000655556,0.000655556,0.000655556
2,150.553,1.67894,2.0983,1.86906,0.00592,0.01389,0.00293,0.00058,nan,nan,nan,0.00131786,0.00131786,0.00131786
3,251.111,1.69759,2.15278,1.87669,0.00207,0.02778,0.00131,0.00031,4.56465,inf,84.1289,0.00197576,0.00197576,0.00197576
4,330.493,1.62384,2.00881,1.81418,0.32739,0.27083,0.20202,0.10295,1.69282,10.2669,2.1516,0.0019802,0.0019802,0.0019802
5,444.813,1.54804,1.94129,1.72302,0.23361,0.13889,0.10283,0.05604,2.28734,2.83612,2.408,0.0019736,0.0019736,0.0019736
6,523.201,1.47529,1.77172,1.67576,0.5561,0.25694,0.25653,0.16438,1.43909,2.28438,1.68293,0.001967,0.001967,0.001967
7,635.219,1.48042,1.75587,1.66226,0.50092,0.24306,0.24761,0.13779,1.67028,1.96675,1.93292,0.0019604,0.0019604,0.0019604
8,710.019,1.42185,1.66495,1.62408,0.45076,0.27083,0.22462,0.1422,1.59198,2.32838,1.70625,0.0019538,0.0019538,0.0019538
9,791.301,1.45396,1.67684,1.61714,0.62911,0.29167,0.28407,0.17539,1.45353,1.46057,1.66281,0.0019472,0.0019472,0.0019472
10,905.614,1.40398,1.62212,1.59058,0.5683,0.24306,0.24672,0.15773,1.51523,1.72394,1.63165,0.0019406,0.0019406,0.0019406
11,988.54,1.37085,1.55265,1.54777,0.58974,0.24306,0.26022,0.15197,1.56564,2.10751,1.5911,0.001934,0.001934,0.001934
12,1067.58,1.3421,1.51368,1.53218,0.80991,0.19444,0.23064,0.13674,1.64419,1.77965,1.75757,0.0019274,0.0019274,0.0019274
13,1143.18,1.36056,1.47876,1.55934,0.6172,0.26874,0.26548,0.16441,1.51179,1.6741,1.64421,0.0019208,0.0019208,0.0019208
14,1220,1.36715,1.5235,1.54886,0.64514,0.31944,0.29222,0.18477,1.39439,1.38726,1.58361,0.0019142,0.0019142,0.0019142
15,1329.48,1.34347,1.46572,1.52981,0.59203,0.24306,0.24303,0.15579,1.59422,1.71263,1.6678,0.0019076,0.0019076,0.0019076
16,1411.54,1.29965,1.4402,1.48539,0.58811,0.28472,0.27133,0.18893,1.38463,1.50799,1.49982,0.001901,0.001901,0.001901
17,1508.63,1.30935,1.37526,1.50345,0.58062,0.29167,0.2801,0.17799,1.5198,1.59778,1.67836,0.0018944,0.0018944,0.0018944
18,1595,1.32254,1.39648,1.50601,0.82053,0.26389,0.29194,0.20252,1.34576,1.36426,1.47689,0.0018878,0.0018878,0.0018878
19,1706.59,1.25414,1.3219,1.45722,0.69875,0.31944,0.31083,0.20419,1.43351,1.29446,1.62064,0.0018812,0.0018812,0.0018812
20,1815.32,1.2966,1.35039,1.4828,0.72837,0.29796,0.2974,0.20035,1.42426,1.30596,1.65432,0.0018746,0.0018746,0.0018746
21,1900.92,1.27513,1.34868,1.46819,0.66437,0.30556,0.30475,0.20331,1.3715,1.28753,1.58782,0.001868,0.001868,0.001868
22,1981.28,1.27216,1.33972,1.46978,0.68176,0.29861,0.29836,0.20266,1.3529,1.32334,1.50166,0.0018614,0.0018614,0.0018614
23,2053.38,1.22392,1.31172,1.42635,0.64788,0.27778,0.28484,0.19543,1.4101,1.48131,1.56624,0.0018548,0.0018548,0.0018548
24,2129.9,1.23567,1.31641,1.43945,0.72127,0.28472,0.30229,0.20978,1.35728,1.39786,1.56859,0.0018482,0.0018482,0.0018482
25,2232.94,1.23015,1.30302,1.43183,0.67889,0.34028,0.32314,0.21861,1.35401,1.20917,1.53759,0.0018416,0.0018416,0.0018416
26,2341.71,1.22854,1.25275,1.42571,0.65366,0.31458,0.3073,0.19644,1.42521,1.28131,1.54144,0.001835,0.001835,0.001835
27,2422.11,1.24047,1.22297,1.42553,0.70329,0.32639,0.32756,0.23626,1.26037,1.18787,1.48085,0.0018284,0.0018284,0.0018284
28,2535.19,1.22927,1.26223,1.42481,0.74498,0.29167,0.31276,0.21714,1.26422,1.25101,1.43861,0.0018218,0.0018218,0.0018218
29,2615.74,1.21649,1.28004,1.42173,0.58084,0.29167,0.29568,0.19792,1.32527,1.38452,1.45424,0.0018152,0.0018152,0.0018152
30,2695,1.19388,1.2149,1.40879,0.72119,0.28472,0.31403,0.23144,1.20647,1.22298,1.39375,0.0018086,0.0018086,0.0018086
31,2778.52,1.17614,1.17675,1.38671,0.79584,0.30556,0.32714,0.24341,1.22542,1.17465,1.35711,0.001802,0.001802,0.001802
32,2894.29,1.18598,1.21369,1.40925,0.77676,0.31413,0.32843,0.22784,1.2129,1.06666,1.48118,0.0017954,0.0017954,0.0017954
33,2967.85,1.1685,1.17662,1.37276,0.66653,0.32639,0.32137,0.23433,1.17226,1.08525,1.3579,0.0017888,0.0017888,0.0017888
34,3036.69,1.20047,1.17185,1.39165,0.87718,0.29761,0.33177,0.23773,1.24941,1.1611,1.38644,0.0017822,0.0017822,0.0017822
35,3110.63,1.18247,1.15978,1.38426,0.62563,0.29861,0.30295,0.21705,1.30098,1.21945,1.4725,0.0017756,0.0017756,0.0017756
36,3185.16,1.15875,1.13991,1.36681,0.79759,0.30104,0.32704,0.23719,1.23255,1.12368,1.42639,0.001769,0.001769,0.001769
37,3256.48,1.15536,1.13081,1.36475,0.82144,0.32639,0.33807,0.24637,1.18669,0.98699,1.40781,0.0017624,0.0017624,0.0017624
38,3348.41,1.1815,1.15352,1.38344,0.76933,0.31944,0.322,0.22399,1.28709,1.14102,1.4025,0.0017558,0.0017558,0.0017558
39,3422.31,1.168,1.14448,1.3663,0.72744,0.31944,0.31524,0.22031,1.26296,1.11589,1.48226,0.0017492,0.0017492,0.0017492
40,3488.86,1.14121,1.1386,1.3609,0.76729,0.32639,0.33359,0.24655,1.16237,1.04528,1.37863,0.0017426,0.0017426,0.0017426
41,3579.36,1.13996,1.10778,1.36219,0.72859,0.31694,0.32507,0.22859,1.28775,1.1302,1.4043,0.001736,0.001736,0.001736
42,3650.52,1.16574,1.15507,1.37655,0.78118,0.3125,0.32596,0.2369,1.24175,1.03768,1.48283,0.0017294,0.0017294,0.0017294
43,3719.36,1.1252,1.10383,1.33996,0.71056,0.32394,0.31696,0.22843,1.25226,1.12575,1.38257,0.0017228,0.0017228,0.0017228
44,3784.38,1.15622,1.11266,1.36893,0.73149,0.30556,0.3227,0.23293,1.28667,1.12221,1.42365,0.0017162,0.0017162,0.0017162
45,3851.49,1.1206,1.09065,1.35579,0.68182,0.31944,0.31179,0.22097,1.2215,1.06432,1.4067,0.0017096,0.0017096,0.0017096
46,3924.37,1.12565,1.0844,1.3451,0.86867,0.29861,0.33445,0.24075,1.2367,1.06749,1.44119,0.001703,0.001703,0.001703
47,3993.69,1.09675,1.05273,1.31554,0.64551,0.33333,0.3164,0.22812,1.2599,1.10293,1.43165,0.0016964,0.0016964,0.0016964
48,4057.29,1.14504,1.07195,1.34675,0.7701,0.31944,0.31315,0.22272,1.29722,1.01351,1.52314,0.0016898,0.0016898,0.0016898
49,4130.1,1.09885,1.05943,1.31979,0.61847,0.33333,0.30827,0.22796,1.18066,1.14104,1.40991,0.0016832,0.0016832,0.0016832
50,4201.13,1.0832,1.04599,1.31337,0.76592,0.32639,0.34078,0.2534,1.17661,1.01017,1.36876,0.0016766,0.0016766,0.0016766
51,4294.35,1.09859,1.05767,1.33349,0.76456,0.32639,0.32783,0.23881,1.19913,1.00763,1.36882,0.00167,0.00167,0.00167
52,4360.14,1.07419,1.03235,1.3038,0.88701,0.3125,0.3384,0.2482,1.23448,1.00789,1.39579,0.0016634,0.0016634,0.0016634
53,4427.71,1.07804,1.04505,1.30789,0.80779,0.31944,0.33681,0.25895,1.11506,1.00578,1.30499,0.0016568,0.0016568,0.0016568
54,4521.86,1.10367,1.02805,1.31929,0.91619,0.31944,0.34791,0.26143,1.09009,1.00356,1.3022,0.0016502,0.0016502,0.0016502
55,4611.2,1.07688,1.01751,1.30466,0.81845,0.32639,0.33309,0.24287,1.18748,0.99851,1.41615,0.0016436,0.0016436,0.0016436
56,4675.04,1.05524,0.99602,1.28529,0.73169,0.33333,0.34055,0.24851,1.15931,1.03588,1.35757,0.001637,0.001637,0.001637
57,4743.71,1.05803,0.99292,1.30316,0.83289,0.31944,0.32687,0.24537,1.20216,0.95023,1.43042,0.0016304,0.0016304,0.0016304
58,4816.96,1.05897,0.97646,1.28632,0.81377,0.32639,0.33208,0.24172,1.16207,0.98328,1.39497,0.0016238,0.0016238,0.0016238
59,4882.01,1.05151,0.99131,1.28325,0.86206,0.31944,0.33805,0.25758,1.11544,0.96942,1.36054,0.0016172,0.0016172,0.0016172
60,4953.47,1.03285,0.98361,1.27747,0.81839,0.32639,0.32529,0.2403,1.2099,1.07176,1.39841,0.0016106,0.0016106,0.0016106
61,5025.74,1.07109,0.98751,1.29821,0.86871,0.3125,0.3233,0.23951,1.20004,1.0044,1.42694,0.001604,0.001604,0.001604
62,5103.18,1.06936,0.98381,1.29255,0.86006,0.3125,0.3357,0.24973,1.12648,0.98077,1.31729,0.0015974,0.0015974,0.0015974
63,5170.61,1.03111,0.95212,1.25509,0.74213,0.32639,0.33032,0.25281,1.12809,0.99617,1.31206,0.0015908,0.0015908,0.0015908
64,5236.69,1.04347,0.97974,1.2735,0.79223,0.31944,0.32358,0.24805,1.11185,1.01246,1.31,0.0015842,0.0015842,0.0015842
65,5310.36,1.03239,0.96779,1.26934,0.80495,0.33333,0.35163,0.25533,1.12266,0.93585,1.40158,0.0015776,0.0015776,0.0015776
66,5384.39,1.05786,0.97508,1.30312,0.71587,0.31944,0.32899,0.2517,1.11826,1.01975,1.35953,0.001571,0.001571,0.001571
67,5454.32,1.02755,0.97151,1.26687,0.81973,0.31944,0.33193,0.2479,1.13867,1.07883,1.38477,0.0015644,0.0015644,0.0015644
68,5511.45,1.03764,0.94645,1.27827,0.75617,0.3446,0.34336,0.25251,1.17074,0.98073,1.37733,0.0015578,0.0015578,0.0015578
69,5583.7,1.05606,0.95116,1.29221,0.86378,0.31944,0.34474,0.25152,1.16166,1.0068,1.36566,0.0015512,0.0015512,0.0015512
70,5655.28,1.03599,0.94496,1.26939,0.85157,0.3125,0.33089,0.24678,1.15571,1.06152,1.33539,0.0015446,0.0015446,0.0015446
71,5732.08,1.04333,0.99476,1.27701,0.76626,0.3125,0.33038,0.24453,1.09599,1.04055,1.29704,0.001538,0.001538,0.001538
72,5799.88,1.03333,0.94884,1.27036,0.9136,0.31944,0.3484,0.25982,1.11132,0.89691,1.36638,0.0015314,0.0015314,0.0015314
73,5877.51,1.04796,0.92632,1.27399,0.82477,0.32687,0.35112,0.25831,1.15668,0.90293,1.39335,0.0015248,0.0015248,0.0015248
74,5944.78,1.0363,0.93112,1.27934,0.79181,0.34338,0.34883,0.24955,1.17627,0.99032,1.3569,0.0015182,0.0015182,0.0015182
75,6017.16,0.99328,0.89174,1.23557,0.76706,0.3125,0.33072,0.2531,1.13871,0.98326,1.36277,0.0015116,0.0015116,0.0015116
76,6088.76,1.0389,0.93175,1.27553,0.83422,0.32639,0.34071,0.2552,1.16997,0.89996,1.41997,0.001505,0.001505,0.001505
77,6158.22,1.04224,0.95038,1.2677,0.85246,0.34028,0.34691,0.2732,1.08732,0.8997,1.28023,0.0014984,0.0014984,0.0014984
78,6258.23,1.03195,0.93013,1.26288,0.85554,0.32639,0.34758,0.2652,1.11274,0.90662,1.36167,0.0014918,0.0014918,0.0014918
79,6331.95,1.02741,0.93379,1.26876,0.91802,0.31109,0.33957,0.2451,1.20812,0.93323,1.44952,0.0014852,0.0014852,0.0014852
80,6394.39,0.98554,0.88216,1.22946,0.83676,0.33333,0.34339,0.27356,1.08299,0.85114,1.31345,0.0014786,0.0014786,0.0014786
81,6492.76,1.01743,0.90065,1.24836,0.85344,0.32639,0.34855,0.25676,1.1487,0.90006,1.39302,0.001472,0.001472,0.001472
82,6566.21,1.01114,0.91456,1.2407,0.84959,0.33333,0.34736,0.26263,1.10586,0.85806,1.33536,0.0014654,0.0014654,0.0014654
83,6634.28,1.02363,0.91965,1.2468,0.81244,0.31944,0.33886,0.25795,1.14322,0.87187,1.39533,0.0014588,0.0014588,0.0014588
84,6707.25,0.99796,0.87878,1.24591,0.88696,0.31944,0.33745,0.25952,1.12515,0.90569,1.38267,0.0014522,0.0014522,0.0014522
85,6777.17,0.98859,0.86611,1.24001,0.92941,0.31944,0.33857,0.25295,1.17566,0.90012,1.42003,0.0014456,0.0014456,0.0014456
86,6851.11,0.99281,0.8885,1.24405,0.81842,0.33333,0.34911,0.24807,1.17622,0.93877,1.41442,0.001439,0.001439,0.001439
87,6924.32,0.96487,0.86623,1.22274,0.87275,0.33333,0.36074,0.26808,1.10508,0.90659,1.34777,0.0014324,0.0014324,0.0014324
88,6995.21,0.98379,0.86524,1.22774,0.89737,0.31944,0.34198,0.26577,1.06417,0.92925,1.26525,0.0014258,0.0014258,0.0014258
89,7072.04,0.97111,0.87058,1.23002,0.79907,0.31944,0.34482,0.25501,1.12606,0.96368,1.36994,0.0014192,0.0014192,0.0014192
90,7143.15,0.96898,0.8244,1.22381,0.97916,0.32634,0.34706,0.2556,1.19652,0.82822,1.39091,0.0014126,0.0014126,0.0014126
91,7213.96,0.95285,0.85854,1.21344,0.91739,0.32639,0.34729,0.27334,1.12882,0.79884,1.3758,0.001406,0.001406,0.001406
